node_id,node_type,display_name,insider_class,current_role,role_start,role_end,current_insider,signal_membership,source_local,source_page,source_url,notes
issuer_rmg,issuer,Raffles Medical Group Ltd,issuer,SGX-listed issuer,,,false,target_issuer,companies/SGX/BSL_Raffles-Medical-Group/index.md,,https://www.rafflesmedicalgroup.com/,Security issuer; SGX ticker BSL
person_loo,person,Dr Loo Choon Yong,founder_executive,Executive Chairman and CEO,,,true,founder_primary_and_current_board,companies/SGX/BSL_Raffles-Medical-Group/sources/announcements/2026-04-01-board-composition-changes.pdf,PDF p. 1,https://links.sgx.com/1.0.0/corporate-announcements/6UJX8EUJNUNLXD7T/881590_RMG%20-%20Changes%20in%20Composition%20of%20the%20Board%20of%20Directors%20and%20Board%20Committees%20-%201%20April%202026.pdf,Founder and controlling shareholder
person_lew,person,Mr Lew Yoong Keong Allen,independent_director,Lead Independent Director,,,true,current_board,companies/SGX/BSL_Raffles-Medical-Group/sources/announcements/2026-04-01-board-composition-changes.pdf,PDF p. 1,https://links.sgx.com/1.0.0/corporate-announcements/6UJX8EUJNUNLXD7T/881590_RMG%20-%20Changes%20in%20Composition%20of%20the%20Board%20of%20Directors%20and%20Board%20Committees%20-%201%20April%202026.pdf,
person_png,person,Mr Png Cheong Boon,independent_director,Non-Executive and Independent Director,,,true,current_board,companies/SGX/BSL_Raffles-Medical-Group/sources/announcements/2026-04-01-board-composition-changes.pdf,PDF p. 1,https://links.sgx.com/1.0.0/corporate-announcements/6UJX8EUJNUNLXD7T/881590_RMG%20-%20Changes%20in%20Composition%20of%20the%20Board%20of%20Directors%20and%20Board%20Committees%20-%201%20April%202026.pdf,
person_tan_wern,person,Mr Tan Wern Yuen,independent_director,Non-Executive and Independent Director,,,true,current_board,companies/SGX/BSL_Raffles-Medical-Group/sources/announcements/2026-04-01-board-composition-changes.pdf,PDF p. 1,https://links.sgx.com/1.0.0/corporate-announcements/6UJX8EUJNUNLXD7T/881590_RMG%20-%20Changes%20in%20Composition%20of%20the%20Board%20of%20Directors%20and%20Board%20Committees%20-%201%20April%202026.pdf,
person_chong,person,Ms Chong Chuan Neo,independent_director,Non-Executive and Independent Director,,,true,current_board,companies/SGX/BSL_Raffles-Medical-Group/sources/announcements/2026-04-01-board-composition-changes.pdf,PDF p. 1,https://links.sgx.com/1.0.0/corporate-announcements/6UJX8EUJNUNLXD7T/881590_RMG%20-%20Changes%20in%20Composition%20of%20the%20Board%20of%20Directors%20and%20Board%20Committees%20-%201%20April%202026.pdf,
person_sung,person,Professor Sung Jao Yiu,independent_director,Non-Executive and Independent Director,,,true,current_board,companies/SGX/BSL_Raffles-Medical-Group/sources/announcements/2026-04-01-board-composition-changes.pdf,PDF p. 1,https://links.sgx.com/1.0.0/corporate-announcements/6UJX8EUJNUNLXD7T/881590_RMG%20-%20Changes%20in%20Composition%20of%20the%20Board%20of%20Directors%20and%20Board%20Committees%20-%201%20April%202026.pdf,
person_olivier,person,Mr Olivier Lim Tse Ghow,nonindependent_director,Non-Executive and Non-Independent Director,,,true,current_board,companies/SGX/BSL_Raffles-Medical-Group/sources/announcements/2026-04-01-board-composition-changes.pdf,PDF p. 1,https://links.sgx.com/1.0.0/corporate-announcements/6UJX8EUJNUNLXD7T/881590_RMG%20-%20Changes%20in%20Composition%20of%20the%20Board%20of%20Directors%20and%20Board%20Committees%20-%201%20April%202026.pdf,
person_sarah,person,Dr Sarah Lu Qinghui,family_executive,Executive and Non-Independent Director,2020-06-01,,true,current_board_and_family_overlap,companies/SGX/BSL_Raffles-Medical-Group/sources/announcements/2026-04-01-board-composition-changes.pdf,PDF p. 1,https://links.sgx.com/1.0.0/corporate-announcements/6UJX8EUJNUNLXD7T/881590_RMG%20-%20Changes%20in%20Composition%20of%20the%20Board%20of%20Directors%20and%20Board%20Committees%20-%201%20April%202026.pdf,Daughter of Dr Loo and sister of Dr David Lu
person_david,person,Dr Lu Liangjian David,family_nonexecutive,Non-Executive and Non-Independent Director,2023-08-01,,true,current_board_and_family_overlap,companies/SGX/BSL_Raffles-Medical-Group/sources/announcements/2026-04-01-board-composition-changes.pdf,PDF p. 1,https://links.sgx.com/1.0.0/corporate-announcements/ARZNTPCHID61BS1A/581751ab7d5217bdf441c2e55b3a59f1aed5f3b6b210a68e254191d39756dd44,Son of Dr Loo and brother of Dr Sarah Lu
